epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,4222.87,0.19604,0.15707,0.2448,0.83887,0.99667,0.99333,0.99485,0.99456,0.99667,0.99333,0.99485,0.99481,0.07372,0.09069,0.35004,0.58633,0.0093334,0.0093334,0.0093334
103,4264.27,0.20267,0.16511,0.2519,0.83833,0.99928,0.99612,0.9949,0.99477,0.99928,0.99612,0.9949,0.99482,0.07588,0.0886,0.61617,0.5888,0.0093268,0.0093268,0.0093268
104,4305.5,0.19967,0.16884,0.24936,0.83583,0.99781,0.99167,0.99481,0.99453,0.99781,0.99167,0.99481,0.99471,0.0773,0.08888,0.52665,0.58871,0.0093202,0.0093202,0.0093202
105,4346.87,0.19577,0.17135,0.24145,0.83374,0.99701,0.99643,0.99492,0.99491,0.99701,0.99643,0.99492,0.99467,0.07905,0.0902,0.56703,0.58922,0.0093136,0.0093136,0.0093136
106,4388.17,0.20063,0.15998,0.25311,0.83935,0.9992,0.99333,0.99487,0.9947,0.9992,0.99333,0.99487,0.99476,0.07402,0.08972,0.3577,0.58976,0.009307,0.009307,0.009307
107,4429.51,0.20351,0.15961,0.24988,0.8396,0.99885,0.98957,0.99474,0.99437,0.99885,0.98957,0.99474,0.99452,0.08057,0.08813,0.29769,0.58813,0.0093004,0.0093004,0.0093004
108,4470.81,0.20068,0.16309,0.25181,0.83908,0.99824,0.99333,0.99481,0.99422,0.99824,0.99333,0.99481,0.99472,0.08208,0.09182,0.47044,0.59061,0.0092938,0.0092938,0.0092938
109,4512.13,0.19885,0.15417,0.23515,0.83612,0.99876,0.99333,0.9949,0.9948,0.99876,0.99333,0.9949,0.99469,0.07717,0.09044,0.24597,0.59047,0.0092872,0.0092872,0.0092872
110,4553.35,0.20352,0.15656,0.25759,0.83796,0.99822,0.99167,0.99484,0.99464,0.99822,0.99167,0.99484,0.99464,0.07729,0.08869,0.37087,0.58855,0.0092806,0.0092806,0.0092806
111,4594.63,0.19935,0.15545,0.23906,0.84038,0.99885,0.99333,0.99481,0.99472,0.99885,0.99333,0.99481,0.99476,0.07165,0.0871,0.34616,0.58871,0.009274,0.009274,0.009274
112,4635.9,0.19686,0.15818,0.24318,0.83758,0.99888,0.99623,0.99497,0.99487,0.99888,0.99623,0.99497,0.99488,0.0758,0.08984,0.37882,0.58878,0.0092674,0.0092674,0.0092674
113,4677.32,0.19587,0.15823,0.24392,0.83328,0.99874,0.99333,0.99478,0.9946,0.99874,0.99333,0.99478,0.9944,0.07544,0.08928,0.53449,0.58884,0.0092608,0.0092608,0.0092608
114,4718.68,0.19395,0.15554,0.23948,0.83193,0.99561,0.995,0.99484,0.99484,0.99561,0.995,0.99484,0.99462,0.07205,0.08572,0.7713,0.58737,0.0092542,0.0092542,0.0092542
115,4760.08,0.19664,0.15796,0.24544,0.83891,0.99884,0.99333,0.99489,0.99489,0.99884,0.99333,0.99489,0.99479,0.07153,0.08724,0.35504,0.58875,0.0092476,0.0092476,0.0092476
116,4801.36,0.20108,0.16457,0.24695,0.84045,0.9975,0.99635,0.99493,0.99471,0.9975,0.99635,0.99493,0.99483,0.07346,0.0912,0.53811,0.58844,0.009241,0.009241,0.009241
117,4842.71,0.19639,0.16116,0.23793,0.83867,0.99865,0.99494,0.99489,0.99481,0.99865,0.99494,0.99489,0.99487,0.07254,0.09106,0.20227,0.58719,0.0092344,0.0092344,0.0092344
